[2019-04-16 15:32:45] Libra.INFO: POST /mail/send {"status":"200 OK","response":"","query":{"recipients":[],"email":[]}} []
[2019-04-16 15:33:11] Libra.INFO: POST /mail/send {"status":"200 OK","response":"","query":{"recipients":[],"email":[]}} []
[2019-04-16 15:33:24] Libra.INFO: POST /mail/send {"status":"200 OK","response":"","query":{"recipients":[],"email":[]}} []
[2019-04-16 15:33:41] Libra.INFO: POST /mail/send {"status":"200 OK","response":"","query":{"recipients":[],"email":[]}} []
[2019-04-16 15:36:02] Libra.INFO: POST /mail/send {"status":"200 OK","response":"","query":[]} []
[2019-04-16 15:36:22] Libra.INFO: POST /mail/send {"status":"200 OK","response":"","query":[]} []
[2019-04-16 15:36:49] Libra.INFO: POST /mail/send {"status":"200 OK","response":"","query":{"recipients":[],"email":{"from":"","to":"","cc":"","bcc":"","subject":"","text":"","html":""}}} []
[2019-04-16 15:40:03] Libra.INFO: POST /mail/send {"status":"200 OK","response":"","query":{"email":{"from":"","to":[],"cc":"","bcc":"","subject":"","text":"","html":""},"attachment":[]}} []
[2019-04-16 15:41:54] Libra.INFO: POST /mail/send {"status":"200 OK","response":"","query":{"email":{"from":"","to":[],"cc":"","bcc":"","subject":"","text":"","html":""},"attachment":[]}} []
[2019-04-16 15:42:19] Libra.INFO: POST /mail/send {"status":"200 OK","response":"","query":{"email":{"from":"","to":[],"cc":"","bcc":"","subject":"","text":"","html":""},"attachment":[]}} []
[2019-04-16 15:42:37] Libra.INFO: POST /mail/send {"status":"200 OK","response":"","query":{"email":{"from":"","to":[],"cc":"","bcc":"","subject":"","text":"","html":""},"attachment":[]}} []
[2019-04-16 15:45:44] Libra.INFO: POST /mail/send {"status":"200 OK","response":"","query":{"email":{"from":"","to":[],"cc":"","bcc":"","subject":"","text":"","html":""},"attachment":[]}} []
[2019-04-16 15:46:03] Libra.INFO: POST /mail/send {"status":"200 OK","response":"","query":{"email":{"from":"","to":[],"cc":"","bcc":"","subject":"","text":"","html":""},"attachment":[]}} []
[2019-04-16 15:46:41] Libra.INFO: POST /mail/send {"status":"200 OK","response":"","query":{"email":{"from":"","to":[],"cc":"","bcc":"","subject":"","text":"","html":""},"attachment":[]}} []
[2019-04-16 15:53:18] Libra.INFO: POST /mail/send {"status":"200 OK","response":"","query":{"email":{"from":"","to":[],"cc":"","bcc":"","subject":"","text":"","html":""},"attachment":[]}} []
[2019-04-16 15:55:58] Libra.INFO: POST /mail/send {"status":"200 OK","response":"","query":{"email":{"from":"","to":[],"cc":"","bcc":"","subject":"","text":"","html":""},"attachment":[]}} []
[2019-04-16 16:36:16] Libra.INFO: POST /mail/send {"status":"200 OK","response":"","query":{"email":{"from":"","to":[],"cc":"","bcc":"","subject":"","text":"","html":""},"attachment":[]}} []
[2019-04-16 16:37:41] Libra.INFO: POST /mail/send {"status":"200 OK","response":"","query":{"email":{"from":"","to":[],"cc":"","bcc":"","subject":"","text":"","html":""},"attachment":[]}} []
[2019-04-16 16:37:46] Libra.INFO: POST /mail/send {"status":"200 OK","response":"","query":{"email":{"from":"","to":[],"cc":"","bcc":"","subject":"","text":"","html":""},"attachment":[]}} []
[2019-04-16 16:38:18] Libra.INFO: POST /mail/send {"status":"200 OK","response":"","query":{"email":{"from":"","to":[],"cc":"","bcc":"","subject":"","text":"","html":""},"attachment":[]}} []
